seed,control_type,mean_length,p_value_mwu
42,random_embeddings,15.578527,7.066071930388932e-18
42,layer_shuffling,7.122122,7.066071930388932e-18
123,random_embeddings,15.562979,7.066071930388932e-18
123,layer_shuffling,7.3145556,7.066071930388932e-18
999,random_embeddings,15.574014,7.066071930388932e-18
999,layer_shuffling,7.2055726,7.066071930388932e-18
42,label_shuffling_silhouette,-0.17805989,0.004264764914030538
123,label_shuffling_silhouette,-0.11520502,0.002945646150532981
999,label_shuffling_silhouette,-0.17960267,0.003549838634913565
